=== Scanner (4 threads) at Tue May 12 12:23:29 PM EEST 2026 ===
[MAIN] Resuming from checkpoint: 346864 (37060346864.lt)
[MAIN] Range: 0 to 9999999 (10,000,000 domains)
[MAIN] Threads: 4
[MAIN] Start: 2026-05-12 12:23:29
[PROGRESS] 1/10,000,000 (0.00%) | hits: 0 | errors: 0 | 59.0 req/s | ETA: 47.1h
[PROGRESS] 5,000/10,000,000 (0.05%) | hits: 0 | errors: 38 | 8.3 req/s | ETA: 333.0h
[PROGRESS] 10,000/10,000,000 (0.10%) | hits: 0 | errors: 54 | 8.2 req/s | ETA: 339.5h
[PROGRESS] 15,000/10,000,000 (0.15%) | hits: 1 | errors: 60 | 7.4 req/s | ETA: 375.7h
[PROGRESS] 20,000/10,000,000 (0.20%) | hits: 1 | errors: 62 | 6.8 req/s | ETA: 409.6h
[PROGRESS] 25,000/10,000,000 (0.25%) | hits: 3 | errors: 67 | 6.4 req/s | ETA: 433.3h
[PROGRESS] 30,000/10,000,000 (0.30%) | hits: 3 | errors: 74 | 6.2 req/s | ETA: 444.5h
[PROGRESS] 35,000/10,000,000 (0.35%) | hits: 3 | errors: 77 | 6.2 req/s | ETA: 449.0h
[PROGRESS] 40,000/10,000,000 (0.40%) | hits: 3 | errors: 4720 | 6.9 req/s | ETA: 398.6h
[PROGRESS] 45,000/10,000,000 (0.45%) | hits: 3 | errors: 9720 | 7.8 req/s | ETA: 354.1h
[PROGRESS] 50,000/10,000,000 (0.50%) | hits: 3 | errors: 14720 | 8.7 req/s | ETA: 318.6h
[PROGRESS] 55,000/10,000,000 (0.55%) | hits: 3 | errors: 19720 | 9.5 req/s | ETA: 289.5h
[PROGRESS] 60,000/10,000,000 (0.60%) | hits: 3 | errors: 24720 | 10.4 req/s | ETA: 265.2h
[PROGRESS] 65,000/10,000,000 (0.65%) | hits: 3 | errors: 29720 | 11.3 req/s | ETA: 244.7h
[PROGRESS] 70,000/10,000,000 (0.70%) | hits: 3 | errors: 34720 | 12.1 req/s | ETA: 227.1h
[PROGRESS] 75,000/10,000,000 (0.75%) | hits: 3 | errors: 39720 | 13.0 req/s | ETA: 211.9h
[PROGRESS] 80,000/10,000,000 (0.80%) | hits: 3 | errors: 44720 | 13.9 req/s | ETA: 198.5h
[PROGRESS] 85,000/10,000,000 (0.85%) | hits: 3 | errors: 49720 | 14.7 req/s | ETA: 186.8h
[PROGRESS] 90,000/10,000,000 (0.90%) | hits: 3 | errors: 54720 | 15.6 req/s | ETA: 176.3h
[PROGRESS] 95,000/10,000,000 (0.95%) | hits: 3 | errors: 59720 | 16.5 req/s | ETA: 167.0h
[PROGRESS] 100,000/10,000,000 (1.00%) | hits: 3 | errors: 64720 | 17.3 req/s | ETA: 158.5h
[PROGRESS] 105,000/10,000,000 (1.05%) | hits: 3 | errors: 69720 | 18.2 req/s | ETA: 150.9h
[PROGRESS] 110,000/10,000,000 (1.10%) | hits: 3 | errors: 74720 | 19.1 req/s | ETA: 144.0h
[PROGRESS] 115,000/10,000,000 (1.15%) | hits: 3 | errors: 79720 | 19.9 req/s | ETA: 137.7h
[PROGRESS] 120,000/10,000,000 (1.20%) | hits: 3 | errors: 84720 | 20.8 req/s | ETA: 131.9h
[PROGRESS] 125,000/10,000,000 (1.25%) | hits: 3 | errors: 89720 | 21.7 req/s | ETA: 126.5h
[PROGRESS] 130,000/10,000,000 (1.30%) | hits: 3 | errors: 94720 | 22.5 req/s | ETA: 121.6h
[PROGRESS] 135,000/10,000,000 (1.35%) | hits: 3 | errors: 99720 | 23.4 req/s | ETA: 117.0h
[PROGRESS] 140,000/10,000,000 (1.40%) | hits: 3 | errors: 104720 | 24.3 req/s | ETA: 112.8h
[PROGRESS] 145,000/10,000,000 (1.45%) | hits: 3 | errors: 109720 | 25.1 req/s | ETA: 108.9h
[PROGRESS] 150,000/10,000,000 (1.50%) | hits: 3 | errors: 114720 | 26.0 req/s | ETA: 105.2h
[PROGRESS] 155,000/10,000,000 (1.55%) | hits: 3 | errors: 119720 | 26.9 req/s | ETA: 101.7h
[PROGRESS] 160,000/10,000,000 (1.60%) | hits: 3 | errors: 124720 | 27.7 req/s | ETA: 98.5h
[PROGRESS] 165,000/10,000,000 (1.65%) | hits: 3 | errors: 129720 | 28.6 req/s | ETA: 95.5h
[PROGRESS] 170,000/10,000,000 (1.70%) | hits: 3 | errors: 134720 | 29.5 req/s | ETA: 92.6h
[PROGRESS] 175,000/10,000,000 (1.75%) | hits: 3 | errors: 139720 | 30.3 req/s | ETA: 89.9h
